연번,사무구분,부서,민원사무명,처리기간
1,민원,세무1과,신탁재산의 재산세 납세의무자 신고서,즉시
2,세무,세무1과,재산세 세율 특례 적용 시 주택 수 산정 제외 (변경)신청서,즉시
3,세무,세무1과,미납지방세 등 열람 신청서,즉시
4,세무,세무1과,주택 재산세 납부유예 신청서,즉시
5,세무,세무1과,지방세 환급금 양도요구서,즉시
6,세무,세무1과,건축물 시가표준액 의견청취,5월말
7,세무,세무1과,지방세 제증명 발급 신청서,즉시
8,세무,세무1과,지방세 세목별과세증명서,즉시
9,세무,세무1과,상속인 대표자 신고,즉시
10,세무,세무1과,지방세 납세증명서,즉시
11,세무,세무1과,"지방세 자동이체[신규,해지] 신청",즉시
12,세무,세무1과,지방세 징수유예등의 신청,10일
13,세무,세무1과,지방세 기한연장(승인)신청,3일
14,세무,세무1과,재산세 변동 신고,즉시
15,세무,세무1과,재산세 분할납부 신청,즉시
16,세무,세무1과,재산세 물납(물납부동산변경) 신청,5일
17,세무,세무1과,"지방세 환급금 청구, 지방세환급금 지급 청구",즉시
18,세무,세무1과,납세관리인 지정 및 변경신고서,즉시
19,세무,세무2과,소급공제 법인지방소득세액 환급 신청서,5~15일
20,세무,세무2과,법인지방소득세 세무조정 계산서 부속서류,5~15일
21,세무,세무2과,법인지방소득세 안분명세서,5~15일
22,세무,세무2과,법인지방소득세 외국법인세액 과세표준 차감 명세서,5~15일
23,세무,세무2과,연결법인관련 법인지방소득세 서식모음,15일
24,세무,세무2과,법인지방소득세 신고 서식(비영리법인포함),5~15일
25,세무,세무2과,지방세 생애최초 주택 구입 취득세 감면 신청서(2023.3.14.시행),2개월
26,세무,세무2과,공동주택가격 의견서 및 이의신청서,
27,세무,세무2과,개별주택가격 의견서 및 이의신청서,30일
28,세무,세무2과,토지등 매매차익에 대한 개인지방소득세 예정신고 및 납부계산서,즉시
29,세무,세무2과,결손금소급공제세액환급신청서,즉시
30,세무,세무2과,종합소득에 대한 개인지방소득세 과세표준확정신고 및 납부계산서 등,즉시
31,세무,세무2과,양도소득에 대한 개인지방소득세 과세표준 신고 및 납부계산서,즉시
32,세무,세무2과,주민세(사업소분) 신고,즉시
33,세무,세무2과,개인지방소득세 납부서,즉시
34,세무,세무2과,지방세 이의신청서,90일
35,세무,세무2과,지방세 과세표준 및 세액 등의 결정 또는 경정 청구서,2개월
36,세무,세무2과,취득세 계약해제 신고서,즉시
37,세무,세무2과,지방세 과세표준 수정신고서(지방세기본법 별지 제13호 서식),즉시
38,세무,세무2과,법인지방소득세 특별징수명세서,즉시
39,세무,세무2과,지방소득세(연말정산 등) 환급청구서,15~30일
40,세무,세무2과,취득세 신고,즉시
41,세무,세무2과,"지방소득세 특별징수 납부서, 지방소득세 특별징수 계산서 및 명세서",즉시
42,세무,세무2과,주민세(종업원분) 신고,즉시
43,세무,세무2과,지방세 감면 신청,5일
44,세무,세무2과,주민세(재산분) 신고,즉시
45,세무,세무2과,자동차 소유에 대한 자동차세 비과세 신청,7일
46,세무,세무2과,자동차세 일할계산 및 연세액 납부 승계 동의 신청,즉시
47,세무,세무2과,자동차세(소유) 연세액 신고,즉시
48,세무,세무2과,등록면허세(등록분) 자진 신고납부,즉시
49,민원,총무과,"모바일 주민등록증(발급, 재발급) 신청",즉시
50,민원,총무과,인감증명 발급신청(위임장 및 동의/확인서),
51,민원,총무과,해외체류 신고 및 신고철회,즉시
52,민원,총무과,주민등록번호 변경신청,주민등록번호 변경 결정 청구를 받은 날로부터 90일 이내
53,민원,총무과,인감보호 신청 및 보호해지 신청,즉시
54,민원,총무과,주민등록재등록신고,즉 시
55,민원,총무과,(모바일)주민등록증 분실신고 및 분실신고 철회신청,즉 시
56,민원,총무과,(IC)주민등록증 재발급신청,"발급신청확인서 즉시, 실물 신분증 14일~"
57,민원,총무과,(IC)주민등록증 신규발급신청,"발급신청확인서 즉시, 실물 신분증 14일~"
58,민원,총무과,주민등록표 등본(초본) 열람 및 교부,즉 시
59,민원,총무과,전입신고,즉 시
60,민원,총무과,주민등록(신규등록) 신고,즉 시
61,민원,총무과,주민등록이의신청,10일
62,민원,총무과,전입세대확인서 열람(발급),즉시
63,민원,총무과,"인감(사망, 실종선고,신고사항 변경,말소, 부활 등) 신고",즉 시
64,민원,총무과,인감(변경)신고(서면위임용),즉 시
65,민원,총무과,국외이주 신고,즉 시
66,민원,총무과,"주민등록정정(말소,거주불명등록)신고",즉 시
67,문화체육,문화관광체육과,비디오물 시청제공업 등록 신고,7일
68,문화체육,문화관광체육과,비디오물 제작업 및 배급업 신고,5일
69,문화체육,문화관광체육과,비디오물 영업신고(등록)증 재교부 신청,1일
70,문화체육,문화관광체육과,음반·음악영상물제작(배급)업 변경신고,3일
71,문화체육,문화관광체육과,음반·음악영상물제작(배급)업 신고,3일
72,문화체육,문화관광체육과,영화업 등록(신고)증 재교부 신청,3일
73,문화체육,문화관광체육과,"대중문화예술기획업 휴업, 폐업, 영업재개 신고",1일
74,문화체육,문화관광체육과,대중문화예술기획업 신규 및 변경 등록 신고,15일(신규) 7일(변경)
75,문화체육,문화관광체육과,"영화 및 비디오물 관련업자 변경(양도,양수) 등록,신고 신청",3일
76,문화체육,문화관광체육과,영화업 및 비디오물 관련업자 폐업신고 신청,1일
77,문화체육,문화관광체육과,"영화업 신고, 등록 신청",3일
78,문화체육,문화관광체육과,유통관련업자 허가·등록·신고신청,3일
79,문화체육,문화관광체육과,유통관련업자 등록사항 변경등록 신청(신고),3일
80,문화체육,문화관광체육과,정보?전자?기타간행물사업 신규 ? 변경 ? 폐업 신고,"신규 25일, 변경 5일(발행인?편집인 변경시 20일), 폐업 5일"
81,문화체육,문화관광체육과,체육시설업 신고(변경신고),신고: 7일 변경신고: 5일
