법령일련번호,현행연혁코드,법령명한글,법령약칭명,법령ID,공포일자,공포번호,제개정구분명,소관부처코드,소관부처명,법령구분명,공동부령정보,시행일자,자법타법여부,법령상세링크
253527,현행,10ㆍ27법난 피해자의 명예회복 등에 관한 법률,10ㆍ27법난법,010719,20230808,19592,타법개정,1371000,문화체육관광부,법률,,20230808,,/DRF/lawService.do?OC=39.127.142.159&target=law&MST=253527&type=HTML&mobileYn=&efYd=20230808
277805,현행,10ㆍ27법난 피해자의 명예회복 등에 관한 법률 시행령,10ㆍ27법난법 시행령,010831,20251001,35811,타법개정,1371000,문화체육관광부,대통령령,,20251001,,/DRF/lawService.do?OC=39.127.142.159&target=law&MST=277805&type=HTML&mobileYn=&efYd=20251001
283303,현행,10ㆍ29이태원참사 피해자 권리보장과 진상규명 및 재발방지를 위한 특별법,이태원참사진상규명법,014656,20260210,21334,일부개정,"1741000,1834600","10·29이태원참사진상규명과재발방지를위한특별조사위원회,행정안전부",법률,,20260511,,/DRF/lawService.do?OC=39.127.142.159&target=law&MST=283303&type=HTML&mobileYn=&efYd=20260511
285793,현행,10ㆍ29이태원참사 피해자 권리보장과 진상규명 및 재발방지를 위한 특별법 시행령,이태원참사진상규명법 시행령,014808,20260506,36297,일부개정,"1741000,1834600","10·29이태원참사진상규명과재발방지를위한특별조사위원회,행정안전부",대통령령,,20260511,,/DRF/lawService.do?OC=39.127.142.159&target=law&MST=285793&type=HTML&mobileYn=&efYd=20260511
257787,현행,112신고의 운영 및 처리에 관한 법률,112신고처리법,014565,20240102,19870,제정,1320000,경찰청,법률,,20240703,,/DRF/lawService.do?OC=39.127.142.159&target=law&MST=257787&type=HTML&mobileYn=&efYd=20240703
263521,현행,112신고의 운영 및 처리에 관한 법률 시행령,112신고처리법 시행령,014679,20240702,34629,제정,1320000,경찰청,대통령령,,20240703,,/DRF/lawService.do?OC=39.127.142.159&target=law&MST=263521&type=HTML&mobileYn=&efYd=20240703
266637,현행,119구조ㆍ구급에 관한 법률,119법,011349,20241203,20543,일부개정,1661000,소방청,법률,,20250604,,/DRF/lawService.do?OC=39.127.142.159&target=law&MST=266637&type=HTML&mobileYn=&efYd=20250604
287229,현행,119구조ㆍ구급에 관한 법률 시행령,119법 시행령,011452,20260623,36432,타법개정,1661000,소방청,대통령령,,20260701,,/DRF/lawService.do?OC=39.127.142.159&target=law&MST=287229&type=HTML&mobileYn=&efYd=20260701
287767,현행,119구조ㆍ구급에 관한 법률 시행규칙,119법 시행규칙,011457,20260701,00628,타법개정,1661000,소방청,행정안전부령,,20260701,,/DRF/lawService.do?OC=39.127.142.159&target=law&MST=287767&type=HTML&mobileYn=&efYd=20260701
257743,현행,119긴급신고의 관리 및 운영에 관한 법률,119긴급신고법,014566,20240102,19872,제정,1661000,소방청,법률,,20240703,,/DRF/lawService.do?OC=39.127.142.159&target=law&MST=257743&type=HTML&mobileYn=&efYd=20240703
